Feature,Category,Points
addr_state,TN,497.0
addr_state,TX,497.0
addr_state,UT,491.0
addr_state,VA,491.0
addr_state,VT,500.0
addr_state,WA,493.0
addr_state,WI,496.0
addr_state,WV,501.0
addr_state,WY,499.0
mths_since_last_record,"(-inf, 81.0]",511.0
mths_since_last_record,"(81.0, inf]",491.0
home_ownership,ANY,483.0
home_ownership,MORTGAGE,493.0
home_ownership,NONE,494.0
home_ownership,OTHER,494.0
home_ownership,OWN,493.0
home_ownership,RENT,493.0
