feature,bin,good_count,bad_count,good_rate,bad_rate,woe,iv
loan_amnt,"(-inf, 5000.0]",97041.0001,5639.0001,0.11539970886918045,0.12135493960542021,-0.050317805513022,0.0002996541419712828
loan_amnt,"(5000.0, 7175.0]",71065.0001,3835.0001,0.08450943739117833,0.08253168953167432,0.023680878106918317,4.683480598713311e-05
loan_amnt,"(7175.0, 9600.0]",86310.0001,5076.0001,0.10263856384183057,0.10923881444382436,-0.06232271575889303,0.0004113455422055216
loan_amnt,"(9600.0, 11000.0]",86423.0001,4813.0001,0.1027729417551742,0.10357888386211972,-0.007811379449521359,6.2955196116982256e-06
loan_amnt,"(11000.0, 13000.0]",83480.0001,4390.0001,0.09927317008287052,0.09447564950447308,0.049533219944387925,0.0002376366419974876
loan_amnt,"(13000.0, 15000.0]",83252.0001,4215.0001,0.09900203588603558,0.09070953599953654,0.08747792502218545,0.000725410683317644
loan_amnt,"(15000.0, 18450.0]",80730.0001,5009.0001,0.09600291112981749,0.10779693098764864,-0.11587067329030404,0.001366581021726112
loan_amnt,"(18450.0, 21600.0]",84739.0001,4545.0001,0.1007703540908319,0.09781135003741688,0.029803582278399705,8.818892076807289e-05
loan_amnt,"(21600.0, 28000.0]",97748.0001,5079.0001,0.11624046271638355,0.10930337638962326,0.06153371421673797,0.00042686468752770854
loan_amnt,"(28000.0, inf]",70124.0001,3866.0001,0.08339041423669727,0.08319882963826308,0.00230008466862447,4.406607976030463e-07
int_rate,"(-inf, 7.69]",91642.0001,1128.0001,0.10897929865553195,0.024275293772455856,1.501698827644392,0.12719990482970023
int_rate,"(7.69, 9.17]",102382.0001,1728.0001,0.12175114634854639,0.0371876829322383,1.1860015750321935,0.10029240080191867
int_rate,"(9.17, 10.99]",94513.0001,2822.0001,0.11239344900251934,0.06073127250024163,0.6155468897711017,0.03180049206478274
int_rate,"(10.99, 11.99]",59484.0001,2246.0001,0.07073748505106658,0.04833537890685048,0.38081185607133256,0.008530987620685937
int_rate,"(11.99, 12.99]",90913.0001,3626.0001,0.10811238273670444,0.0780338739743501,0.32602825285160686,0.009806443660172132
int_rate,"(12.99, 13.99]",86499.0001,4033.0001,0.10286331982078585,0.08679277795440253,0.16987770005040015,0.0027300266908248634
int_rate,"(13.99, 15.37]",74118.0001,6050.0001,0.08814001942160413,0.1301999261798712,-0.390144483036125,0.016409440578751724
int_rate,"(15.37, 16.99]",87314.0001,6393.0001,0.10383250565596339,0.13758150864954682,-0.2814374533374528,0.009498233455192193
int_rate,"(16.99, 18.99]",78675.0001,7311.0001,0.09355913580308148,0.15733746406401397,-0.5197992463640569,0.03315192696439215
